"Freight Flows","Corridor","Lat","Long","Grouping","Daily$","DailyTons"
"I-5 NB I-205","Tigard to Wilsonville",453.47776,-1227.628,"All Goods",55157395,42506
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Chemical",4051852,5613
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Coal, Oil, Waste, etc.",5272551,10464
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Electronics",11079274,453
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Food",8158874,4734
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Gravel, Sand, etc.",35238,2620
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Machinery",6990987,2584
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Misc manufactured",3153465,434
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Motor Vehicles, etc.",8900017,583
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Wood, Paper, etc.",3676774,6193
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Agriculture",5185475,11928
"I-5 NB OR 217","Tigard to Wilsonville",454.14804,-1227.42657,"All Goods",58760149,48411
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Chemical",4322735,5988
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Coal, Oil, Waste, etc.",6287659,12478
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Electronics",12440312,509
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Food",8257427,4791
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Gravel, Sand, etc.",35691,2654
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Machinery",7413725,2741
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Misc manufactured",3066396,422
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Motor Vehicles, etc.",7962804,521
"I-5 NB OR 217","Tigard to Wilsonville",45.414804,-122.742657,"Wood, Paper, etc.",3787925,6380
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Agriculture",871844,2005
"I-5 SB I-205","Tigard to Wilsonville",453.46931,-1227.69147,"All Goods",76310007,49582
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Chemical",3370629,4669
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Coal, Oil, Waste, etc.",6858654,13611
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Electronics",16320590,667
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Food",8578476,4977
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Gravel, Sand, etc.",113745,8457
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Machinery",9341700,3453
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Misc manufactured",3774143,520
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Motor Vehicles, etc.",21243056,1391
"I-5 SB I-205","Tigard to Wilsonville",45.346931,-122.769147,"Wood, Paper, etc.",5837171,9832
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Agriculture",855326,1967
"I-5 SB OR 217","Tigard to Wilsonville",454.14382,-1227.45316,"All Goods",80492462,49669
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Chemical",3618414,5012
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Coal, Oil, Waste, etc.",7928634,15735
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Electronics",18876314,772
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Food",8782979,5096
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Gravel, Sand, etc.",91796,6825
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Machinery",10409859,3848
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Misc manufactured",3206708,442
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Motor Vehicles, etc.",21643109,1417
"I-5 SB OR 217","Tigard to Wilsonville",45.414382,-122.745316,"Wood, Paper, etc.",5079324,8555
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Agriculture",1378821,3172
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",453.82437,-1227.55966,"All Goods",9126324,10176
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Chemical",751780,1041
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Coal, Oil, Waste, etc.",1268587,2518
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Electronics",1921138,79
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Food",1966484,1141
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Gravel, Sand, etc.",12732,947
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Machinery",637935,236
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Misc manufactured",236998,33
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Motor Vehicles, etc.",365575,24
"Tual Sher Rd EB I-5","Tigard/Tualatin to Sherwood/Newberg",45.382437,-122.755966,"Wood, Paper, etc.",586274,987
